category,gov,district,pcode,agency,activity
Food Security,Ninewa,,,UPP,Access to Food
Food Security,,,,UPP,Access to Food
Food Security,,Zakho,iq08102,UPP,Access to Food
Food Security,,Zakho,iq08102,UPP,Access to Food
Food Security,,,,UPP,Access to Food
Food Security,Ninewa,Telafar,iq15098,DRC,Access to Food
Food Security,Ninewa,Telafar,iq15098,DRC,Access to Food
Food Security,,,,DRC,Access to Food
Food Security,Thi-Qar,,,WFP,Access to Food
Food Security,Thi-Qar,,,WFP,Access to Food
Food Security,Thi-Qar,,,WFP,Access to Food
Food Security,Thi-Qar,Al-Shatra,iq09052,WFP,Access to Food
Food Security,Thi-Qar,,,WFP,Access to Food
Food Security,Thi-Qar,,,WFP,Access to Food
Food Security,Muthanna,,,WFP,Access to Food
Food Security,Muthanna,,,WFP,Access to Food
Food Security,Muthanna,,,WFP,Access to Food
Food Security,Muthanna,,,WFP,Access to Food
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Diyala,,,WFP,Access to Food
Food Security,Diyala,,,WFP,Access to Food
Food Security,Diyala,,,WFP,
Food Security,Diyala,Khanaqin,iq10077,WFP,
Food Security,Diyala,Khanaqin,iq10077,WFP,
Food Security,Diyala,Khanaqin,iq10077,WFP,
Food Security,Diyala,Khanaqin,iq10077,WFP,
Food Security,Diyala,Khanaqin,iq10077,WFP,
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Diyala,Khanaqin,iq10077,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,Soran,iq11094,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,Shaqlawa,iq11089,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Najaf,Najaf,iq17042,WFP,Access to Food
Food Security,,,,WFP,Access to Food
Food Security,Dahuk,Zakho,iq08102,WFP,Access to Food
Food Security,Dahuk,Semel,iq08096,WFP,Access to Food
Food Security,Dahuk,Amedi,iq08058,WFP,Access to Food
Food Security,Dahuk,,,WFP,Access to Food
Food Security,Dahuk,,,WFP,Access to Food
Food Security,Ninewa,Akre,iq15005,WFP,Access to Food
Food Security,Ninewa,,,WFP,Access to Food
Food Security,Ninewa,,,WFP,Access to Food
Food Security,Ninewa,,,WFP,Access to Food
Food Security,Ninewa,,,WFP,Access to Food
Food Security,Ninewa,,,WFP,Access to Food
Food Security,Ninewa,Telafar,iq15098,WFP,Access to Food
Food Security,Ninewa,,,WFP,
Food Security,Sulaymaniyah,Dokan,iq05070,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,
Food Security,Sulaymaniyah,Halabja,iq05073,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,Chamchamal,iq05065,WFP,Access to Food
Food Security,Sulaymaniyah,Chamchamal,iq05065,WFP,Access to Food
Food Security,Sulaymaniyah,Chamchamal,iq05065,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,Kalar,iq05075,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,Halabja,iq05073,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Sulaymaniyah,,,WFP,Access to Food
Food Security,Kirkuk,Kirkuk,iq13079,WFP,Access to Food
Food Security,Kirkuk,Kirkuk,iq13079,SIDA,Access to Food
Food Security,Ninewa,Tilkaif,iq15100,WFP,Access to Food
Food Security,,,,WFP,Access to Food
Food Security,,Zakho,iq08102,WFP,Access to Food
Food Security,,Zakho,iq08102,WFP,Access to Food
Food Security,,,,WFP,Access to Food
Food Security,,,,WFP,Access to Food
Food Security,,,,WFP,Access to Food
Food Security,,,,WFP,Access to Food
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,Ninewa,Tilkaif,iq15100,WFP,
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,Shaqlawa,iq11089,WFP,Access to Food
Food Security,Erbil,Shaqlawa,iq11089,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,,,WFP,Access to Food
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,Amedi,iq08058,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,Erbil,Erbil,iq11071,ASA,Access to Food
Food Security,Anbar,Ana,iq01059,ASA,Access to Food
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,,,,WFP,
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,WFP,Access to Food
Food Security,Erbil,Erbil,iq11071,Rise Foundation,Access to Food
Food Security,Erbil,Erbil,iq11071,Rise Foundation,Access to Food
Food Security,Erbil,,,Rise Foundation,Access to Food
Food Security,Erbil,,,Rise Foundation,Access to Food
Food Security,Erbil,,,Rise Foundation,Access to Food
Food Security,Erbil,,,Rise Foundation,Access to Food
Food Security,Erbil,,,Rise Foundation,Access to Food
Food Security,Ninewa,Telafar,iq15098,DRC,Access to Food
Food Security,Ninewa,Telafar,iq15098,DRC,Access to Food
Food Security,,,,DRC,Access to Food
Food Security,,,,DRC,Access to Food
Food Security,,Zakho,iq08102,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,,Zakho,iq08102,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,,,,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,,,,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,,,,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,,Zakho,iq08102,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,,,,PEACE WINDS JAPAN (PWJ),Access to Food
Food Security,Kerbala,,,MH,Access to Food
Food Security,Kerbala,,,MH,Access to Food
Food Security,Kerbala,,,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Babil,Hilla,iq06022,MH,Access to Food
Food Security,Erbil,,,NPA,Access to Food
Food Security,,Khanaqin,iq10077,NPA,Access to Food
Food Security,Dahuk,Semel,iq08096,NPA,Access to Food
Food Security,,,,NPA,Access to Food
Food Security,,,,NPA,Access to Food
Food Security,,,,NPA,Access to Food
Food Security,,Chamchamal,iq05065,Reach,Access to Food
Food Security,,Chamchamal,iq05065,Reach,Access to Food
Food Security,Dahuk,,,Reach,Access to Food
Food Security,Dahuk,,,Reach,Access to Food
Food Security,Dahuk,,,Reach,Access to Food
Food Security,Sulaymaniyah,Chamchamal,iq05065,Reach,Access to Food
Food Security,Sulaymaniyah,Chamchamal,iq05065,Reach,Access to Food
Food Security,Dahuk,,,Reach,Access to Food
Food Security,Sulaymaniyah,Sulaymaniyah,iq05095,Reach,Access to Food
Food Security,Dahuk,,,Deutsche Welthungerhilfe e.V.,Access to Food
Food Security,Erbil,,,Deutsche Welthungerhilfe e.V.,Access to Food
Food Security,Dahuk,,,Deutsche Welthungerhilfe e.V.,Access to Food
Food Security,Erbil,Shaqlawa,iq11089,Co. & Org. ,Access to Food
Food Security,Erbil,,,Co. & Org. ,Access to Food
Food Security,Erbil,,,Co. & Org. ,Access to Food
Food Security,Erbil,Erbil,iq11071,Co. & Org. ,Access to Food
Food Security,Erbil,,,Co. & Org. ,Access to Food
